December 2018:  Regularly Scheduled Flights Canceled 5% or More  ,,,,
,,,,
,,,,
Row Number,,,Origin,Destination
1098,,,BWI,LAX
1099,,,LGA,DAL
1100,,,CMH,BOS
1101,,,BWI,MCO
1102,,,MCO,AUS
1103,,,DAL,LGA
1104,,,HOU,HRL
1105,,,AMA,DAL
1106,,,DAL,MDW
1107,,,HOU,DAL
1108,,,HOU,CRP
1109,,,DAL,HOU
1110,,,BUR,OAK
1111,,,HOU,DAL
1112,,,DAL,SAT
1113,,,LAS,SAN
1114,,,SFO,SAN
1115,,,SFO,DEN
1116,,,ELP,LAX
1117,,,LAS,SFO
1118,,,DAL,TUL
1119,,,HOU,DAL
1120,,,DAL,AUS
1121,,,ELP,AUS
1122,,,SFO,LAS
1123,,,SFO,DEN
1124,,,SFO,LAX
1125,,,SAN,ABQ
1126,,,DCA,MKE
1127,,,ABQ,OAK
1128,,,MDW,ABQ
1129,,,MHT,BWI
1130,,,ATL,CMH
